accession,label,offset,ar
0001193125-20-229278,OTHER,-2,-0.030809941312117978
0001193125-20-229278,OTHER,-1,-0.02070452063422061
0001193125-20-229278,OTHER,0,0.0031604420126400117
0001193125-20-229278,OTHER,1,-0.03050374279708727
0001193125-20-229278,OTHER,2,0.0027965412349745377
0001193125-20-229278,OTHER,3,-0.009154584575293145
0001193125-20-229278,OTHER,4,0.04201660681755931
0001193125-20-229278,OTHER,5,-0.049872265399850006
0001193125-20-229278,OTHER,6,0.013811538720673623
0001193125-20-229278,OTHER,7,0.005278795945527492
0001193125-20-229278,OTHER,8,0.00045572587535694636
0001193125-20-229278,OTHER,9,0.018436797738371147
0001193125-20-229278,OTHER,10,-0.02858007997927208
0001564590-20-050530,EARNINGS,-10,0.02419263540104696
0001564590-20-050530,EARNINGS,-9,0.019226128313342403
0001564590-20-050530,EARNINGS,-8,0.05487426381662437
0001564590-20-050530,EARNINGS,-7,0.03596974744162917
0001564590-20-050530,EARNINGS,-6,0.030085834736961366
0001564590-20-050530,EARNINGS,-5,0.011269042009366707
0001564590-20-050530,EARNINGS,-4,-0.010334944217758735
0001564590-20-050530,EARNINGS,-3,-0.02708844404404467
0001564590-20-050530,EARNINGS,-2,0.0059227600069868755
0001564590-20-050530,EARNINGS,-1,0.03520530676319843
0001564590-20-050530,EARNINGS,0,-0.02827754429469743
0001564590-20-050530,EARNINGS,1,0.033602954930650825
0001564590-20-050530,EARNINGS,2,-0.013987853434085104
0001564590-20-050530,EARNINGS,3,-0.019302906686972557
0001564590-20-050530,EARNINGS,4,-0.005224745380663912
0001564590-20-050530,EARNINGS,5,0.03944300507107372
0001564590-20-050530,EARNINGS,6,0.007085634694984961
0001564590-20-050530,EARNINGS,7,0.048606886423760154
0001564590-20-050530,EARNINGS,8,0.016479462362371692
0001564590-20-050530,EARNINGS,9,-0.01655091627289499
0001564590-20-050530,EARNINGS,10,-0.007625234098958707
0001564590-21-008087,EARNINGS,-10,0.022822299389393494
0001564590-21-008087,EARNINGS,-9,-0.009799967335253434
0001564590-21-008087,EARNINGS,-8,-0.026629067863805693
0001564590-21-008087,EARNINGS,-7,-0.02036323168388455
0001564590-21-008087,EARNINGS,-6,0.018228560076164264
0001564590-21-008087,EARNINGS,-5,0.009548660920465198
0001564590-21-008087,EARNINGS,-4,0.02650300097956068
0001564590-21-008087,EARNINGS,-3,-0.02459297940626108
0001564590-21-008087,EARNINGS,-2,-0.010686349925192028
0001564590-21-008087,EARNINGS,-1,-0.03105133028488819
0001564590-21-008087,EARNINGS,0,-0.009548248729620169
0001564590-21-008087,EARNINGS,1,0.038380234425153384
0001564590-21-008087,EARNINGS,2,-0.008712651350857005
0001564590-21-008087,EARNINGS,3,-0.04740377001632
0001564590-21-008087,EARNINGS,4,0.020567086938567826
0001564590-21-008087,EARNINGS,5,-0.02494556596078879
0001564590-21-008087,EARNINGS,6,0.052986670052789425
0001564590-21-008087,EARNINGS,7,-0.06218273317623375
0001564590-21-008087,EARNINGS,8,-0.4660810505041199
0001564590-21-008087,EARNINGS,9,0.06872241200097247
0001564590-21-008087,EARNINGS,10,-0.014427856096048679
0001193125-21-073270,REGULATORY,-10,-0.010160125501257972
0001193125-21-073270,REGULATORY,-9,-0.03044991837265362
0001193125-21-073270,REGULATORY,-8,-0.009216115252464765
0001193125-21-073270,REGULATORY,-7,0.03885763240925593
0001193125-21-073270,REGULATORY,-6,-0.008009853008801318
0001193125-21-073270,REGULATORY,-5,-0.046946697192224884
0001193125-21-073270,REGULATORY,-4,0.02098242489979537
0001193125-21-073270,REGULATORY,-3,-0.024523552396339306
0001193125-21-073270,REGULATORY,-2,0.053644656991384126
0001193125-21-073270,REGULATORY,-1,-0.061704000339059296
0001193125-21-073270,REGULATORY,0,-0.4654546517607337
0001193125-21-073270,REGULATORY,1,0.06928705508923035
0001193125-21-073270,REGULATORY,2,-0.013833191347382062
0001193125-21-073270,REGULATORY,3,0.009342272872213783
0001193125-21-073270,REGULATORY,4,0.10385589330062303
0001193125-21-073270,REGULATORY,5,-0.0877476975303978
0001193125-21-073270,REGULATORY,6,0.004509635563797063
0001193125-21-073270,REGULATORY,7,-0.0067611121488536305
0001193125-21-073270,REGULATORY,8,0.026970757336954147
0001193125-21-073270,REGULATORY,9,-0.03390751365874862
0001193125-21-073270,REGULATORY,10,-0.03550801106487517
0001193125-21-105632,REGULATORY,-10,0.027879896796854924
0001193125-21-105632,REGULATORY,-9,-0.03326440134616507
0001193125-21-105632,REGULATORY,-8,-0.03443602390506163
0001193125-21-105632,REGULATORY,-7,-0.016155036554781482
0001193125-21-105632,REGULATORY,-6,0.022574390776875453
0001193125-21-105632,REGULATORY,-5,-0.019197191443612382
0001193125-21-105632,REGULATORY,-4,-0.020780149256450296
0001193125-21-105632,REGULATORY,-3,0.01887990061397745
0001193125-21-105632,REGULATORY,-2,0.0005569026874812357
0001193125-21-105632,REGULATORY,-1,-0.016734171967276723
0001193125-21-105632,REGULATORY,0,-0.1839050673308542
0001193125-21-105632,REGULATORY,1,-0.024549106690218175
0001193125-21-105632,REGULATORY,2,0.028067548668553235
0001193125-21-105632,REGULATORY,3,-0.02943128269899182
0001193125-21-105632,REGULATORY,4,-0.01966161761549967
0001193125-21-105632,REGULATORY,5,0.0021083518819478117
0001193125-21-105632,REGULATORY,6,0.006290035534413927
0001193125-21-105632,REGULATORY,7,0.036322653424700375
0001193125-21-105632,REGULATORY,8,-0.012306755776118027
0001193125-21-105632,REGULATORY,9,-0.004706636797362002
0001193125-21-105632,REGULATORY,10,-0.015763297351706156
