accession,ticker,name,label,t0,alpha,beta,resid_sd,n_est,ar0,car_leak,car_leak_n,car_event,car_event_n,car_drift,car_drift_n,car_aux,car_aux_n
0001110803-19-000035,ILMN,"ILLUMINA, INC.",EARNINGS,2019-07-12,0.00017114270512507207,1.7012723414907633,0.017033935937854884,220,-0.1689550480680372,-0.003145657088246011,9,-0.17874017831263095,2,-0.0126391127857771,9,-0.20715470013766726,3
0001110803-19-000037,ILMN,"ILLUMINA, INC.",EARNINGS,2019-07-30,0.0006241863668185958,1.6892835314153691,0.01694997174905699,220,-0.011095837455520912,-0.016664900816448044,9,0.004827695688527979,2,0.003445949904109291,9,0.018944879338931162,3
0001110803-19-000054,ILMN,"ILLUMINA, INC.",EARNINGS,2019-10-25,-0.0005949412741578103,1.4302251996995274,0.019265657606564776,220,-0.08405772906985491,0.021081419576336392,9,-0.045350233781474514,2,-0.05627561381949248,9,-0.03778226009318256,3
0001110803-19-000060,ILMN,"ILLUMINA, INC.",OTHER,2019-12-19,-0.0010997054769168418,1.3434353560699608,0.019401337702578937,220,-0.004499180576484586,-0.012483117553790406,9,0.005901626377884167,2,-0.015926382551301507,9,0.01242031000852746,3
0001110803-20-000005,ILMN,"ILLUMINA, INC.",OTHER,2020-01-03,-0.001025821016949184,1.2525732296948346,0.019296601029145467,220,-0.0025478171338683547,0.019815377694212773,9,0.0023756824502719157,2,-0.02393100163137691,9,-0.02260065433728252,3
0001110803-20-000009,ILMN,"ILLUMINA, INC.",EARNINGS,2020-01-17,-0.0005814086106522675,1.2347976143830968,0.018818311776734552,220,-0.007066537038440997,-0.026686810476994477,9,0.007050525799018743,2,-0.07830376798194921,9,0.01474587926958175,3
0001110803-20-000011,ILMN,"ILLUMINA, INC.",EARNINGS,2020-01-30,-0.00016911065880107433,1.2887934175599174,0.0182194695820503,220,-0.05923203465807847,-0.004786918014886454,9,-0.05569509071596439,2,-0.0537600342726407,9,-0.05757979253597742,3
0001110803-20-000026,ILMN,"ILLUMINA, INC.",EARNINGS,2020-04-15,-0.0009852245129051145,1.1352420652883355,0.018423882759775217,220,0.013055184136251403,-0.0021686558208355022,9,0.03985926735808672,2,-0.0020394195030472365,9,0.036487501219826315,3
0001110803-20-000030,ILMN,"ILLUMINA, INC.",EARNINGS,2020-05-01,-0.001024667197779252,0.9446537002668476,0.018681804428755486,220,-0.015186038666663057,0.008053534345286672,9,-0.009181887528259498,2,0.08441476816287546,9,0.005615232785969431,3
0001110803-20-000050,ILMN,"ILLUMINA, INC.",EARNINGS,2020-08-07,0.0008258423098772096,0.8686991263573011,0.019491554584194527,220,-0.11080771078264227,0.006107160789611715,9,-0.12072490786951166,2,-0.01704046129434034,9,-0.1308759796787037,3
0000950157-20-001121,ILMN,"ILLUMINA, INC.",OTHER,2020-09-21,0.0008604208789118449,0.8706895749889322,0.019368525955385747,220,-0.07702448382513921,-0.12773020909903662,9,-0.09274971395225332,2,0.13329586150146722,9,-0.09204178068220645,3
0001110803-20-000058,ILMN,"ILLUMINA, INC.",EARNINGS,2020-10-30,-0.000262653152696355,0.8649250541752784,0.021214226378840805,220,-0.061219265846919065,0.011945609609059712,9,-0.07003597180456983,2,-0.013796055929733432,9,-0.061740606106991246,3
0001110803-20-000066,ILMN,"ILLUMINA, INC.",OTHER,2020-11-10,-1.6180265486877895e-05,0.8701691342933308,0.022289943279561044,220,-0.012218095367750072,-0.05814258943069855,9,-0.016046361654111406,2,-0.004165545143903266,9,-0.03497972905644174,3
0001110803-21-000003,ILMN,"ILLUMINA, INC.",EARNINGS,2021-01-13,-0.0002749138777348289,0.8864854053860254,0.023165423744593384,220,-0.00011952108581596852,0.002921446324119243,9,0.028232057392167265,2,0.17283976841124313,9,-0.0017489081760298023,3
0001110803-21-000012,ILMN,"ILLUMINA, INC.",EARNINGS,2021-02-12,0.000703674754292657,0.8872362748806544,0.023046417945399897,220,0.1135699707687406,-0.0053114302801841665,9,0.08944477695299016,2,-0.09734938250634766,9,0.09001879900786405,3
0000950157-21-000303,ILMN,"ILLUMINA, INC.",OTHER,2021-03-05,0.00090946643172414,0.8768841778774301,0.02322919520721809,220,-0.018943030064407736,-0.1387505831221933,9,-0.05367162755922702,2,0.054711634423856265,9,-0.0840745015429343,3
0001193125-21-079640,ILMN,"ILLUMINA, INC.",OTHER,2021-03-15,0.0016939255526622794,0.8789805175665638,0.023243416530084368,220,0.03058395136330583,-0.10320402535070375,9,0.028118993624817634,2,-0.07616957414499015,9,0.006422812760295273,3
0000950157-21-000344,ILMN,"ILLUMINA, INC.",OTHER,2021-03-17,0.0018798776817177832,0.8414124493928502,0.02316686741603345,220,-0.003342565532931067,-0.0810264558664116,9,-0.018996609599539565,2,-0.088659664817891,9,-0.021694894787169516,3
0001193125-21-089600,ILMN,"ILLUMINA, INC.",OTHER,2021-03-23,0.0005000783488693906,0.9684940295659693,0.02157072033570858,220,-0.024255052253132292,0.05622497034032987,9,-0.042956883122206746,2,-0.05976862306737601,9,-0.017480453836365713,3
0001110803-21-000022,ILMN,"ILLUMINA, INC.",EARNINGS,2021-04-06,0.0011618523680875313,0.8958702095419127,0.022498371268171634,220,0.07816273140234019,-0.10823745714178547,9,0.04151693169123486,2,-0.027721866773937814,9,0.026197910669816006,3
0001110803-21-000028,ILMN,"ILLUMINA, INC.",EARNINGS,2021-04-28,7.45266063445593e-05,1.0256600098720878,0.02288440207429483,220,-0.019148581749390867,0.030809937236204794,9,-0.039592990048985754,2,-0.033841729455000566,9,-0.056582216918903624,3
