cik,ticker,name,sic,sic_desc,city,state,zip
0001681556,GXXM,"GEX MANAGEMENT, INC.",8742,Services-Management Consulting Services,DALLAS,TX,75243
0001652958,EDGM,"Edgemode, Inc.",8082,Services-Home Health Care Services,FT. LAUDERDALE,FL,33301
0001624517,FRQN,"Frequency Holdings, Inc",7389,"Services-Business Services, NEC",MOKENA,IL,60448
0001430300,GWSO,"Global Warming Solutions, Inc.",5960,Retail-Nonstore Retailers,TEMECULA,CA,92590
0001451448,GMBL,"ESPORTS ENTERTAINMENT GROUP, INC.",7900,Services-Amusement & Recreation Services,MALTA,O1,BKR 9
0001715819,EMED,"Electromedical Technologies, Inc",3841,Surgical & Medical Instruments & Apparatus,SCOTTSDALE,AZ,85260
0000772263,NICH,NITCHES INC,2330,"Women's, Misses':  and Juniors Outerwear",LAS VEGAS,NV,89128
0001791929,DPUI,"DISCOUNT PRINT USA, INC.",2750,Commercial Printing,LAS VEGAS,NV,89102
0001528172,ENDV,"ENDONOVO THERAPEUTICS, INC.",3845,Electromedical & Electrotherapeutic Apparatus,WOODLAND HILLS,CA,91367
0000897078,KOAN,"Resonate Blends, Inc.",7372,Services-Prepackaged Software,CALABASAS,CA,91302
0001642159,SIGY,"Sigyn Therapeutics, Inc.",3841,Surgical & Medical Instruments & Apparatus,BEVERLY HILLS,CA,90212
0001967478,CPTAF,Captivision Inc.,3690,"Miscellaneous Electrical Machinery, Equipment & Supplies",GYOUNGGI,M5,00000
0001837774,GIPL,Global Innovative Platforms Inc.,3841,Surgical & Medical Instruments & Apparatus,MAITLAND,FL,32751
0001407973,SONX,"Sonendo, Inc.",3843,Dental Equipment & Supplies,Laguna Hills,CA,92653
0001127007,VYRE,CABO VERDE CAPITAL INC.,4941,Water Supply,LAS VEGAS,NV,89118
0000819926,SEII,SHARING ECONOMY INTERNATIONAL INC.,7373,Services-Computer Integrated Systems Design,FARMINGTON HILLS,MI,48221
0001394638,DWAY,"Driveitaway Holdings, Inc.",8200,Services-Educational Services,PHILADELPHIA,PA,19104
0001622996,ACBM,"ACRO BIOMEDICAL CO., LTD.",7900,Services-Amusement & Recreation Services,FISHERS,IN,46038
0001343465,SNPW,Sun Pacific Holding Corp.,7310,Services-Advertising,MANALAPAN,NJ,07726
0001782037,YGMZF,MingZhu Logistics Holdings Ltd,4700,Transportation Services,"SHENZHEN, GUAGDONG",,
0001413909,DSGT,DSG Global Inc.,7373,Services-Computer Integrated Systems Design,SURREY,A1,V3Z 0
0001420368,DLTI,DLT Resolution Inc.,7200,Services-Personal Services,LAS VEGAS,NV,89118
0001671132,SONG,Music Licensing Inc.,7900,Services-Amusement & Recreation Services,NAPLES,FL,34105
0001706509,COSG,Cosmos Group Holdings Inc.,6199,Finance Services,WANCHAI,K3,00000
0001883984,ALCE,"Alternus Clean Energy, Inc.",4931,Electric & Other Services Combined,NEW YORK CITY,NY,10004
